,SAMKNNClassifier_no_ltm
0,90.4
1,85.6
2,44.1
3,76.2
4,76.2
5,79.60000000000001
6,81.8
7,80.10000000000001
8,75.6
9,62.0
10,91.0
11,100.0
12,83.8
13,26.1
14,53.300000000000004
15,50.2
16,47.4
17,56.3
18,62.4
19,60.5
20,61.5
21,53.7
22,42.5
