,LeveragingBaggingClassifier_knn
0,86.3
1,80.60000000000001
2,48.5
3,70.0
4,71.3
5,72.7
6,73.2
7,75.3
8,69.0
9,54.50000000000001
10,85.9
11,100.0
12,83.8
13,35.8
14,52.6
15,49.2
16,48.0
17,48.3
18,54.7
19,50.5
20,49.8
21,47.9
22,44.4
