,OzaBaggingClassifier_knn
0,89.8
1,88.1
2,43.1
3,76.6
4,79.60000000000001
5,77.9
6,80.2
7,80.7
8,75.5
9,59.099999999999994
10,74.3
11,97.7
12,83.8
13,25.5
14,63.3
15,59.8
16,62.0
17,58.4
18,61.5
19,61.3
20,64.2
21,54.50000000000001
22,43.4
