,SAMKNNClassifier_ltm
0,91.5
1,87.9
2,43.4
3,77.3
4,78.7
5,73.9
6,80.2
7,81.2
8,73.7
9,59.5
10,89.9
11,100.0
12,83.8
13,26.400000000000002
14,53.800000000000004
15,57.699999999999996
16,60.699999999999996
17,58.199999999999996
18,63.7
19,56.599999999999994
20,59.9
21,52.300000000000004
22,44.4
