,HoeffdingTreeClassifier_def
0,65.2
1,62.8
2,66.5
3,69.39999999999999
4,68.30000000000001
5,67.60000000000001
6,68.0
7,68.2
8,66.60000000000001
9,67.0
10,68.89999999999999
11,74.6
12,75.2
13,19.3
14,23.7
15,28.799999999999997
16,54.50000000000001
17,58.3
18,57.099999999999994
19,58.9
20,55.800000000000004
21,49.9
22,59.199999999999996
