,LeveragingBaggingClassifier_vfdt
0,85.3
1,71.1
2,53.0
3,72.0
4,74.9
5,70.0
6,69.5
7,75.9
8,74.1
9,55.00000000000001
10,90.7
11,99.8
12,83.5
13,39.6
14,58.099999999999994
15,56.49999999999999
16,57.4
17,55.800000000000004
18,56.2
19,59.9
20,57.4
21,53.300000000000004
22,62.9
