,AdaptiveRandomForestClassifier_def
0,91.2
1,89.7
2,47.199999999999996
3,79.10000000000001
4,83.7
5,80.80000000000001
6,82.6
7,84.0
8,81.6
9,71.3
10,69.6
11,94.3
12,83.8
13,40.9
14,61.3
15,62.7
16,62.3
17,63.2
18,65.9
19,64.9
20,66.3
21,57.3
22,50.3
