,HoeffdingAdaptiveTreeClassifier_def
0,66.60000000000001
1,61.9
2,65.7
3,71.2
4,68.7
5,67.4
6,69.39999999999999
7,67.5
8,66.2
9,68.5
10,71.1
11,74.2
12,75.2
13,19.400000000000002
14,22.900000000000002
15,51.300000000000004
16,55.7
17,52.7
18,55.2
19,57.3
20,54.900000000000006
21,50.2
22,64.4
