,SAMKNNClassifier_ltm
0,91.5
1,96.2
2,85.7
3,89.5
4,94.6
5,90.10000000000001
6,92.30000000000001
7,93.10000000000001
8,94.1
9,61.199999999999996
10,37.0
11,100.0
12,99.6
13,66.9
14,86.5
15,86.4
16,86.5
17,74.2
18,77.0
19,91.10000000000001
20,62.1
21,42.1
22,77.2
