,AdaptiveRandomForestClassifier_def
0,91.7
1,93.0
2,76.7
3,86.2
4,88.3
5,85.5
6,86.1
7,87.8
8,86.5
9,86.2
10,82.6
11,100.0
12,7.1
13,68.10000000000001
14,68.89999999999999
15,66.10000000000001
16,68.60000000000001
17,66.9
18,72.6
19,70.8
20,71.5
21,67.9
22,77.2
