,MajorityClassClassifier_def
0,47.0
1,45.800000000000004
2,19.1
3,10.6
4,8.799999999999999
5,10.4
6,11.4
7,32.4
8,30.4
9,14.399999999999999
10,0.0
11,0.0
12,83.8
13,19.900000000000002
14,20.8
15,18.3
16,20.4
17,19.8
18,18.4
19,18.6
20,19.1
21,13.4
22,0.0
