,OzaBaggingClassifier_vfdt
0,70.8
1,65.8
2,69.89999999999999
3,71.7
4,69.5
5,69.69999999999999
6,70.1
7,69.6
8,68.5
9,71.0
10,71.6
11,84.5
12,76.4
13,25.900000000000002
14,28.299999999999997
15,62.8
16,65.8
17,57.49999999999999
18,60.199999999999996
19,60.6
20,58.699999999999996
21,53.800000000000004
22,71.1
