,SAMKNNClassifier_no_ltm
0,90.4
1,95.8
2,81.8
3,86.3
4,100.0
5,99.9
6,100.0
7,100.0
8,99.9
9,61.3
10,37.0
11,100.0
12,99.9
13,67.10000000000001
14,62.8
15,92.5
16,85.6
17,100.0
18,100.0
19,99.9
20,100.0
21,42.699999999999996
22,77.2
