,HoeffdingAdaptiveTreeClassifier_def
0,66.10000000000001
1,64.2
2,66.9
3,69.89999999999999
4,68.10000000000001
5,68.30000000000001
6,69.19999999999999
7,69.1
8,67.4
9,70.0
10,69.8
11,83.6
12,75.4
13,25.8
14,27.900000000000002
15,55.7
16,61.8
17,56.8
18,57.3
19,57.49999999999999
20,55.300000000000004
21,51.800000000000004
22,78.0
