,LeveragingBaggingClassifier_knn
0,86.3
1,86.0
2,67.0
3,75.8
4,79.3
5,76.0
6,75.6
7,78.3
8,71.8
9,59.0
10,37.0
11,100.0
12,70.8
13,61.6
14,60.3
15,54.7
16,57.8
17,59.4
18,61.1
19,59.199999999999996
20,65.3
21,41.5
22,77.2
