,HoeffdingTreeClassifier_def
0,65.2
1,62.9
2,66.4
3,68.60000000000001
4,68.2
5,68.60000000000001
6,68.4
7,69.19999999999999
8,67.30000000000001
9,68.89999999999999
10,69.39999999999999
11,83.6
12,76.3
13,25.7
14,28.1
15,55.50000000000001
16,63.2
17,55.00000000000001
18,55.900000000000006
19,58.8
20,57.199999999999996
21,50.0
22,71.39999999999999
