,NoChangeClassifier_def
0,45.300000000000004
1,46.300000000000004
2,13.3
3,15.5
4,30.3
5,27.500000000000004
6,29.4
7,32.4
8,0.7000000000000001
9,48.5
10,37.0
11,100.0
12,1.0
13,23.0
14,8.3
15,8.200000000000001
16,20.0
17,18.2
18,18.4
19,18.6
20,14.299999999999999
21,27.400000000000002
22,77.2
