,LeveragingBaggingClassifier_vfdt
0,81.0
1,81.6
2,72.6
3,78.7
4,69.0
5,70.5
6,76.1
7,74.1
8,73.1
9,62.5
10,95.19999999999999
11,99.3
12,79.60000000000001
13,62.6
14,59.099999999999994
15,56.2
16,61.1
17,55.900000000000006
18,60.5
19,58.699999999999996
20,58.199999999999996
21,55.800000000000004
22,86.3
