,HoefdingTreesADWINComplete_def
0,65.2
1,62.8
2,66.5
3,69.39999999999999
4,72.5
5,66.0
6,64.9
7,66.5
8,68.0
9,53.1
10,47.099999999999994
11,99.6
12,83.7
13,34.0
14,56.2
15,55.7
16,57.199999999999996
17,54.50000000000001
18,55.800000000000004
19,57.199999999999996
20,57.4
21,48.8
22,67.0
