,LeveragingBaggingClassifier
0,86.8
1,72.1
2,50.8
3,73.1
4,77.10000000000001
5,72.3
6,67.10000000000001
7,76.7
8,74.5
9,54.7
10,93.7
11,96.3
12,83.8
13,25.2
14,58.3
15,56.39999999999999
16,57.099999999999994
17,54.7
18,55.00000000000001
19,60.699999999999996
20,58.4
21,50.9
22,70.1
