,OzaBaggingClassifier
0,70.1
1,63.1
2,65.10000000000001
3,74.3
4,74.0
5,70.89999999999999
6,71.5
7,71.1
8,67.5
9,69.89999999999999
10,77.5
11,87.2
12,81.0
13,19.7
14,55.60000000000001
15,56.3
16,58.3
17,54.800000000000004
18,57.4
19,57.8
20,57.699999999999996
21,50.3
22,64.60000000000001
