,SAMKNNClassifier
0,45.300000000000004
1,45.800000000000004
2,19.1
3,15.9
4,16.5
5,27.500000000000004
6,11.4
7,29.299999999999997
8,30.4
9,14.499999999999998
10,59.199999999999996
11,100.0
12,83.8
13,23.0
14,18.0
15,16.8
16,9.4
17,18.6
18,20.200000000000003
19,18.6
20,19.2
21,27.400000000000002
22,14.399999999999999
