,HoeffdingAdaptiveTreeClassifier
0,65.60000000000001
1,62.2
2,65.60000000000001
3,72.3
4,70.19999999999999
5,69.19999999999999
6,69.3
7,69.89999999999999
8,66.3
9,71.5
10,78.0
11,85.5
12,80.10000000000001
13,19.6
14,54.800000000000004
15,56.00000000000001
16,59.199999999999996
17,55.1
18,57.199999999999996
19,57.8
20,57.9
21,49.7
22,64.1
