,AdaptiveRandomForestClassifier
0,89.3
1,89.0
2,44.6
3,77.9
4,81.69999999999999
5,80.2
6,82.8
7,83.6
8,80.5
9,69.69999999999999
10,75.8
11,100.0
12,83.8
13,40.0
14,61.0
15,62.9
16,64.7
17,62.7
18,66.10000000000001
19,65.60000000000001
20,66.0
21,58.9
22,58.5
