,MajorityClassClassifier
0,47.0
1,45.800000000000004
2,19.1
3,10.6
4,8.799999999999999
5,10.4
6,11.4
7,9.5
8,12.8
9,5.8999999999999995
10,0.0
11,0.0
12,3.8
13,13.700000000000001
14,18.0
15,18.3
16,20.4
17,19.8
18,18.4
19,18.6
20,19.1
21,13.4
22,0.0
